Gender,Location,Value
GIRLS,Austria,46.1
BOYS,Austria,41.2
GIRLS,Belgium,41.4
BOYS,Belgium,31.7
GIRLS,Bulgaria,46.3
BOYS,Bulgaria,36.1
GIRLS,Croatia,41.4
BOYS,Croatia,32.2
GIRLS,Czech Republic,19.2
BOYS,Czech Republic,21
GIRLS,Estonia,47.3
BOYS,Estonia,32.6
GIRLS,Finland,17.7
BOYS,Finland,13.8
GIRLS,France,39.2
BOYS,France,28.5
GIRLS,Germany,55
BOYS,Germany,43
GIRLS,Greece,41.6
BOYS,Greece,41.7
GIRLS,Hungary,39.6
BOYS,Hungary,32.1
GIRLS,Ireland,36.9
BOYS,Ireland,31.8
GIRLS,Italy,57.2
BOYS,Italy,49.7
GIRLS,Latvia,58.4
BOYS,Latvia,45.7
GIRLS,Lithuania,41.5
BOYS,Lithuania,28.4
GIRLS,Luxembourg,35.5
BOYS,Luxembourg,28.6
GIRLS,Netherlands,28.9
BOYS,Netherlands,24.3
GIRLS,Portugal,46.7
BOYS,Portugal,33
GIRLS,Poland,50.4
BOYS,Poland,34.5
GIRLS,Romania,43.7
BOYS,Romania,38.9
GIRLS,Slovakia,37.1
BOYS,Slovakia,30.6
GIRLS,Slovenia,43.5
BOYS,Slovenia,32.4
GIRLS,Spain,47.1
BOYS,Spain,34
GIRLS,United Kingdom,26.3
BOYS,United Kingdom,24
